자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
용산구,한강로동,11170625,0.8054330253205496,0.32183120874786103,0.944954128440367,0.3354948177525199,0.21631943172350843,58.9
성동구,성수2가1동,11200670,0.6749877719646046,0.25776734591848927,0.779816513761468,0.6746448065089847,0.39387280259911506,58.6
강북구,송중동,11305545,0.6763401080107682,0.28824471000925656,0.9357798165137615,0.5539096837500257,0.29313147854756083,58.3
강남구,역삼2동,11680650,0.7805217814606139,0.2879069018785055,1.0,0.40887625978698616,0.16606472489400387,58.3
성북구,종암동,11290705,0.645586957470431,0.3992353685131419,0.9724770642201835,0.4962487478790605,0.1874180902334795,58.2
강북구,번1동,11305595,0.6488479569357807,0.23013470721017765,0.8440366972477066,0.6655804730461803,0.42169391622810026,58.2
영등포구,대림2동,11560710,0.6732683532534313,0.4515365065621121,0.6513761467889908,0.591741112496678,0.27009581891183393,58.2
영등포구,문래동,11560605,0.7584104389056919,0.30827752862851865,0.9633027522935779,0.47556473209722605,0.11342182528175751,57.6
광진구,구의1동,11215850,0.6777517683010882,0.24958535357181322,0.8990825688073395,0.5368890160884763,0.361687930429031,57.2
강서구,가양1동,11500603,0.8644613110165206,0.20474688083571332,0.9266055045871561,0.3656193143487949,0.18911682330790403,56.8
동대문구,이문1동,11230740,0.6112792750119204,0.32124048663407617,0.944954128440367,0.6127113273504101,0.2338992948578618,56.8
서대문구,북가좌2동,11410720,0.6242093250634643,0.39873206420383545,0.9541284403669726,0.489404501502545,0.17797912724569914,56.5
강동구,암사1동,11740570,0.6696472398160013,0.32255997782081763,0.889908256880734,0.48673876157573037,0.28088707983918293,56.5
종로구,종로5·6가동,11110630,0.66349201675289,0.21681709058075482,0.3302752293577982,1.0000000000000002,0.5146448041679762,56.4
광진구,자양1동,11215820,0.6447160280193655,0.30998651617210643,0.81651376146789,0.6115706196209909,0.29394307234493405,56.3
금천구,독산2동,11545620,0.5596803979074761,0.3046129741858608,0.8073394495412846,0.6516752867101416,0.43235102776235995,56.1
용산구,남영동,11170530,0.6364491683561099,0.16682000981284503,0.6422018348623855,0.7178118036674368,0.6086163127731121,56.1
강북구,인수동,11305660,0.6161041151091075,0.35189101960591007,0.8807339449541284,0.5667150479383447,0.25038273774957126,56.1
강서구,발산1동,11500611,0.8183923739586031,0.2702880953984923,0.9357798165137615,0.32833575239691726,0.15510160966790446,55.8
금천구,시흥5동,11545710,0.5624061899702187,0.26736924121893546,0.889908256880734,0.6293067849622829,0.40671651087633276,55.6
광진구,중곡4동,11215770,0.6126339261714887,0.31125016176312137,0.9541284403669726,0.5340229368113336,0.24421372322670956,55.2
성동구,성수2가3동,11200690,0.7547878242380645,0.18739616740531834,0.7522935779816514,0.6654905247664411,0.24102831437836883,55.2
은평구,녹번동,11380510,0.6521141426191089,0.2806886586832567,0.9908256880733947,0.47222029151419753,0.23811603472750661,55.1
성북구,삼선동,11290555,0.6791798342792684,0.30718122091804545,0.7889908256880734,0.5727620254717174,0.23662975429116198,55.0
